Date,STEEL
2017-01-03,1088.1199951171875
2017-01-04,1105.6099853515625
2017-01-05,1113.6500244140625
2017-01-06,1088.3399658203125
2017-01-09,1081.6300048828125
2017-01-10,1134.6600341796875
2017-01-11,1156.18994140625
2017-01-12,1146.8499755859375
2017-01-13,1146.9599609375
2017-01-17,1143.9300537109375
2017-01-18,1168.6700439453125
2017-01-19,1146.27001953125
2017-01-20,1153.1800537109375
2017-01-23,1171.75
2017-01-24,1194.239990234375
2017-01-25,1187.31005859375
2017-01-26,1185.93994140625
2017-01-27,1187.9100341796875
2017-01-30,1160.010009765625
2017-01-31,1153.22998046875
2017-02-01,1163.4599609375
2017-02-02,1176.93994140625
2017-02-03,1146.8900146484375
2017-02-06,1139.7099609375
2017-02-07,1137.510009765625
2017-02-08,1145.6800537109375
2017-02-09,1177.06005859375
2017-02-10,1207.6800537109375
2017-02-13,1252.989990234375
2017-02-14,1243.3399658203125
2017-02-15,1244.9300537109375
2017-02-16,1243.4200439453125
2017-02-17,1238.510009765625
2017-02-21,1266.1099853515625
2017-02-22,1248.56005859375
2017-02-23,1201.260009765625
2017-02-24,1186.81005859375
2017-02-27,1207.1199951171875
2017-02-28,1194.22998046875
2017-03-01,1233.0999755859375
2017-03-02,1182.4300537109375
2017-03-03,1196.68994140625
2017-03-06,1173.6600341796875
2017-03-07,1154.0699462890625
2017-03-08,1125.719970703125
2017-03-09,1115.1400146484375
2017-03-10,1115.760009765625
2017-03-13,1146.8299560546875
2017-03-14,1141.0400390625
2017-03-15,1201.0400390625
2017-03-16,1198.7900390625
2017-03-17,1185.8800048828125
2017-03-20,1195.5400390625
2017-03-21,1126.9300537109375
2017-03-22,1139.8900146484375
2017-03-23,1127.0
2017-03-24,1110.969970703125
2017-03-27,1106.6400146484375
2017-03-28,1124.6800537109375
2017-03-29,1127.3699951171875
2017-03-30,1126.3499755859375
2017-03-31,1125.050048828125
2017-04-03,1117.010009765625
2017-04-04,1133.550048828125
2017-04-05,1104.239990234375
2017-04-06,1106.8199462890625
2017-04-07,1113.97998046875
2017-04-10,1100.510009765625
2017-04-11,1108.31005859375
2017-04-12,1056.6400146484375
2017-04-13,1032.18994140625
2017-04-17,1031.9000244140625
2017-04-18,1020.2100219726562
2017-04-19,1011.5800170898438
2017-04-20,1048.760009765625
2017-04-21,1048.800048828125
2017-04-24,1067.97998046875
2017-04-25,1077.489990234375
2017-04-26,1060.52001953125
2017-04-27,1050.0699462890625
2017-04-28,1052.5
2017-05-01,1057.1199951171875
2017-05-02,1056.260009765625
2017-05-03,1022.0
2017-05-04,1002.030029296875
2017-05-05,1009.8200073242188
2017-05-08,997.9429931640625
2017-05-09,1001.5700073242188
2017-05-10,1011.4199829101562
2017-05-11,1008.47998046875
2017-05-12,996.4450073242188
2017-05-15,1019.239990234375
2017-05-16,1030.699951171875
2017-05-17,1005.5499877929688
2017-05-18,979.905029296875
2017-05-19,1009.7899780273438
2017-05-22,1012.0800170898438
2017-05-23,1033.6700439453125
2017-05-24,1018.5399780273438
2017-05-25,1015.52001953125
2017-05-26,1016.1699829101562
2017-05-30,1022.4000244140625
2017-05-31,1006.4000244140625
2017-06-01,1009.3499755859375
2017-06-02,1001.760009765625
2017-06-05,1005.739990234375
2017-06-06,1001.719970703125
2017-06-07,997.0280151367188
2017-06-08,1025.6199951171875
2017-06-09,1028.52001953125
2017-06-12,1025.550048828125
2017-06-13,1025.280029296875
2017-06-14,1003.5800170898438
2017-06-15,977.4010009765625
2017-06-16,978.4650268554688
2017-06-19,988.3510131835938
2017-06-20,970.010986328125
2017-06-21,971.6749877929688
2017-06-22,986.0369873046875
2017-06-23,1001.8599853515625
2017-06-26,1006.1799926757812
2017-06-27,1009.1799926757812
2017-06-28,1047.81005859375
2017-06-29,1047.31005859375
2017-06-30,1059.800048828125
2017-07-03,1075.3900146484375
2017-07-05,1070.780029296875
2017-07-06,1068.0400390625
2017-07-07,1062.780029296875
2017-07-10,1080.8299560546875
2017-07-11,1095.6800537109375
2017-07-12,1107.0799560546875
2017-07-13,1114.800048828125
2017-07-14,1114.219970703125
2017-07-17,1127.77001953125
2017-07-18,1122.6400146484375
2017-07-19,1140.4300537109375
2017-07-20,1128.9200439453125
2017-07-21,1114.1700439453125
2017-07-24,1119.3299560546875
2017-07-25,1151.739990234375
2017-07-26,1134.449951171875
2017-07-27,1127.9000244140625
2017-07-28,1116.56005859375
2017-07-31,1132.9599609375
2017-08-01,1118.6300048828125
2017-08-02,1114.760009765625
2017-08-03,1107.3699951171875
2017-08-04,1124.9599609375
2017-08-07,1152.2099609375
2017-08-08,1146.22998046875
2017-08-09,1133.1300048828125
2017-08-10,1117.6400146484375
2017-08-11,1099.4200439453125
2017-08-14,1104.239990234375
2017-08-15,1099.1199951171875
2017-08-16,1121.6199951171875
2017-08-17,1092.6500244140625
2017-08-18,1103.72998046875
2017-08-21,1099.1400146484375
2017-08-22,1120.949951171875
2017-08-23,1140.8399658203125
2017-08-24,1141.5400390625
2017-08-25,1146.1300048828125
2017-08-28,1149.260009765625
2017-08-29,1152.6500244140625
2017-08-30,1163.8399658203125
2017-08-31,1170.8499755859375
2017-09-01,1195.719970703125
2017-09-05,1189.8199462890625
2017-09-06,1199.3900146484375
2017-09-07,1206.25
2017-09-08,1185.77001953125
2017-09-11,1200.260009765625
2017-09-12,1202.8699951171875
2017-09-13,1191.6300048828125
2017-09-14,1173.3699951171875
2017-09-15,1178.81005859375
2017-09-18,1192.530029296875
2017-09-19,1188.7099609375
2017-09-20,1186.52001953125
